Article,APPROVISIONEMENT,STAY,OUT,PU,CASH,GainU,GainTotal
Savonor_no_1_rose_24pc,0,,-0,0,-0,-12627,0
Savonor_no_1_blanc_48pc,100,129,87,28100,2444700,3863,336081
Glycerine,0,41,30,14650,439500,1938,58140
"Gold star",2000,684,1415,9200,13018000,1149,1625835
New_gold_star,0,156,447,0,0,-15424,-6894528
"Black star",0,174,-0,0,-0,-8051,0
Super_gold,0,73,60,8600,516000,1142,68520
Vaseline_Shaza,0,54,-0,0,-0,,
Omo_5_kg,0,3,63,0,0,-14407,-907641
Tourne_Sol_5L,50,148,16,0,0,-15966,-255456
Omo_100_gr,0,,4,11700,46800,1531,6124
Mini_star,1500,426,982,5500,5401000,669,656958
New_muganga_classic,50,73,28,24650,690200,3294,92232
Cooki_20L,300,57,232,46054.63,10684674.16,-1424.37,-330453.84
New_muganga_herbal,0,31,39,0,0,-21356,-832884
Cooki_10L_bidon,200,178,71,29200,2073200,4410,313110
New_muganga_baby,50,56,-0,0,-0,-21356,0
Cooki_10L_seaux,500,63,315,30650,9654750,4599,1448685
Utamu_10L_seaux,0,180,88,29650,2609200,4440,390720
Kiki_Vim,0,14,17,14150,240550,1862,31654
New_familial_blanc,0,11,12,28950,347400,3865,46380
Tourne_Sol_1L_Carton,0,32,6,23750,142500,3582,21492
New_familial_deo,0,44,22,28950,636900,3865,85030
Cooki_5L,0,14,3,73200,219600,11015,33045
New_familial_flower,0,53,6,28950,173700,3865,23190
New_familial_rouge,0,64,17,28950,492150,3865,65705
Cooki_3L,0,68,5,72200,361000,10855,54275
Orissa,0,59,35,0,0,-20678,-723730
New_shaza_classic,0,1,2,0,0,-21525,-43050
New_shaza_herbal,100,131,54,24850,1341900,3325,179550
Cooki_50ml,0,46,20,0,0,-3278,-65560
Mayonnaise_350_gr,0,10,-0,0,-0,-21949,0
Hand_Wash_300ml,100,5,104,0,0,-8475,-881400
Mayonaise_500_gr,50,55,1,34000,34000,4424,4424
Hand_Wash_3L,0,8,2,13650,27300,,
Palma_19kg,0,9,20,0,0,-61017,-1220340
Arif,0,,-0,0,-0,-18983,0
Guest_soap,0,10,1,0,0,,
Star_fresh_1l,0,17,6,10750,64500,1428,8568
Multi_Usage_5L,0,51,123,11700,1439100,1531,188313
Star_fresh_5l,150,152,61,11200,683200,1454,88694
Multi_Usage_3L,0,1,-0,0,-0,-6356,0
Multi_usage_1l,0,,-0,0,-0,-9322,0
"Palmola 1l",0,3,-0,0,-0,-16216,0
"Tournesol 2l",30,101,20,0,0,-6723,-134460
